fish_id,condition_id,trial_number,Fish median response / baseline,Contributing rows
20230227_06,control,75,0.9374061460308297,1
20230227_06,control,76,0.9964963039159269,1
20230227_06,control,77,1.0354741205994447,1
20230227_06,control,78,1.0242879444834825,1
20230227_06,control,79,1.1147166847300296,1
20230227_06,control,80,0.8214442798367648,1
20230227_06,control,81,1.0280064447213542,1
20230227_06,control,82,1.0630278995989901,1
20230227_06,control,83,1.0614920074961045,1
20230227_06,control,84,0.9352479158427126,1
20230227_06,control,85,0.9571475863432154,1
20230227_06,control,86,1.0280591921012565,1
20230227_06,control,87,1.0759777152429415,1
20230227_06,control,88,0.9401088454550107,1
20230227_06,control,89,1.0636594389079446,1
20230227_06,control,90,1.0307769547493326,1
20230227_06,control,91,1.0824519398079744,1
20230227_06,control,92,1.0367755468566213,1
20230227_06,control,93,0.97046412842456,1
20230227_06,control,94,0.9671833784052211,1
20230228_02,control,5,1.053854383080995,1
20230228_02,control,6,0.9691449143317561,1
20230228_02,control,7,1.009406816043474,1
20230228_02,control,8,0.9725140513136866,1
20230228_02,control,9,1.0081307154609433,1
20230228_02,control,10,1.0115630812752003,1
20230228_02,control,11,0.963246531772512,1
20230228_02,control,12,0.9409960755211717,1
20230228_02,control,13,1.0059736779709663,1
20230228_02,control,14,1.00646459197888,1
20230228_02,control,15,1.0058026945197744,1
20230228_02,control,16,0.9831243657444293,1
20230228_02,control,17,0.9804624263633693,1
20230228_02,control,18,1.1551686130546088,1
20230228_02,control,19,0.8905014083864482,1
20230228_02,control,20,0.9362516925654828,1
20230228_02,control,21,1.0369453033867233,1
20230228_02,control,22,0.944464469370239,1
20230228_02,control,23,0.9459514387422556,1
20230228_02,control,24,0.913816650156994,1
20230228_02,control,25,1.072778496260426,1
20230228_02,control,26,0.9338444301426202,1
20230228_02,control,27,0.9761544387538085,1
20230228_02,control,28,1.008897507814454,1
20230228_02,control,29,1.0434120532753453,1
20230228_02,control,30,1.0919006800736917,1
20230228_02,control,31,0.9435290036873613,1
20230228_02,control,32,0.9556807766758367,1
20230228_02,control,33,0.920388508278251,1
20230228_02,control,34,0.9237800499955856,1
20230228_02,control,35,1.0169444538207344,1
20230228_02,control,36,1.0202277253209675,1
20230228_02,control,37,1.0588389433156948,1
20230228_02,control,38,0.9748894183224015,1
20230228_02,control,39,1.3223563043800624,1
20230228_02,control,40,0.9859902551276135,1
20230228_02,control,41,1.2422717441228952,1
20230228_02,control,42,1.0110644311460404,1
20230228_02,control,43,1.020486080156329,1
20230228_02,control,44,0.9795777303803568,1
20230228_02,control,45,1.060883873070666,1
20230228_02,control,46,1.0972347662449158,1
20230228_02,control,47,0.9890033944058452,1
20230228_02,control,48,1.2731204393881317,1
20230228_02,control,49,0.9099280283096928,1
20230228_02,control,50,1.0017528164178446,1
20230228_02,control,51,0.918249350292727,1
20230228_02,control,52,0.9914829096292497,1
20230228_02,control,53,0.9308937334539417,1
20230228_02,control,54,0.9548125752491662,1
20230228_02,control,55,0.7629196986394728,1
20230228_02,control,56,1.0284153429897052,1
20230228_02,control,57,0.9476990203345693,1
20230228_02,control,58,1.0034278391480875,1
20230228_02,control,59,0.908589019474025,1
20230228_02,control,60,1.2523519891374761,1
20230228_02,control,61,1.0501735707910798,1
20230228_02,control,62,1.0569252743434572,1
20230228_02,control,63,0.6291708776250229,1
20230228_02,control,64,1.0933581521977824,1
20230228_02,control,65,1.0042094263971442,1
20230228_02,control,66,1.0701438715567542,1
20230228_02,control,67,1.0262139853466912,1
20230228_02,control,68,1.0158687097934793,1
20230228_02,control,69,1.0081976893111573,1
20230228_02,control,70,0.9944535741308989,1
20230228_02,control,71,0.9701299608661432,1
20230228_02,control,72,0.9408898031962011,1
20230228_02,control,73,0.9861189349625447,1
20230228_02,control,74,0.9931304398903207,1
20230228_02,control,75,0.9994923109617037,1
20230228_02,control,76,1.0187775126620606,1
20230228_02,control,77,1.00951350459815,1
20230228_02,control,78,0.9673725555783034,1
20230228_02,control,79,0.9428939193131792,1
20230228_02,control,80,0.9428632894824974,1
20230228_02,control,81,1.006789515022931,1
20230228_02,control,82,0.9722435331844983,1
20230228_02,control,83,1.0143172849252695,1
20230228_02,control,84,0.9799248741363845,1
20230228_02,control,85,1.0344969902714778,1
20230228_02,control,86,1.0100774043514935,1
20230228_02,control,87,1.0411174398893697,1
20230228_02,control,88,0.9067335016350926,1
20230228_02,control,89,0.9951430603225371,1
20230228_02,control,90,0.9932557375021928,1
20230228_02,control,91,1.018501786610663,1
20230228_02,control,92,0.9201457184716225,1
20230228_02,control,93,0.932026430195928,1
20230228_02,control,94,1.009909082491325,1
20230228_05,control,5,0.9974247127284063,1
20230228_05,control,6,0.9760389064389997,1
20230228_05,control,7,1.0180365829029001,1
20230228_05,control,8,1.0399690361380982,1
20230228_05,control,9,1.0028546454061626,1
20230228_05,control,10,0.9983876165400194,1
20230228_05,control,11,0.9920307668150876,1
20230228_05,control,12,1.0207228403710948,1
20230228_05,control,13,0.9729080055863021,1
20230228_05,control,14,1.0785353671873983,1
20230228_05,control,15,1.0429769514263405,1
20230228_05,control,16,0.9894785044155021,1
20230228_05,control,17,0.9982519465004809,1
20230228_05,control,18,0.9684879853916704,1
20230228_05,control,19,1.035455180081056,1
20230228_05,control,20,1.0299835255825724,1
20230228_05,control,21,0.9966903898590662,1
20230228_05,control,22,1.0462184688434868,1
20230228_05,control,23,0.9871418045374798,1
20230228_05,control,24,1.0189951215633568,1
20230228_05,control,25,1.020599393655038,1
20230228_05,control,26,1.0311302539485696,1
20230228_05,control,27,0.9527907686393422,1
20230228_05,control,28,0.9500233200970444,1
20230228_05,control,29,0.9608720596040154,1
20230228_05,control,30,1.070309537779384,1
20230228_05,control,31,0.9577805505038857,1
20230228_05,control,32,0.9931239542892453,1
20230228_05,control,33,1.040348535796744,1
20230228_05,control,34,0.9655187455293395,1
20230228_05,control,35,1.0332176034006852,1
20230228_05,control,36,0.9114629716090805,1
20230228_05,control,37,0.9785375678306616,1
20230228_05,control,38,1.0241272309051646,1
20230228_05,control,39,0.9271668187649835,1
20230228_05,control,40,0.8903618943758286,1
20230228_05,control,41,0.9902357278168403,1
